Player,salary,inf_adj_salary,year
Patrick Mills,1133950.0,1438955.0,2014
Miles Plumlee,1121520.0,1423182.0,2014
Andre Roberson,1110840.0,1409629.0,2014
Nick Young,1106942.0,1404682.0,2014
Jordan Farmar,1106942.0,1404682.0,2014
Arnett Moultrie,1089240.0,1382219.0,2014
Perry Jones,1082520.0,1373692.0,2014
Rudy Gobert,1078800.0,1368971.0,2014
Marquis Teague,1074720.0,1363794.0,2014
Festus Ezeli,1066920.0,1353896.0,2014
Archie Goodwin,1064400.0,1350698.0,2014
Nemanja Nedovic,1056720.0,1340952.0,2014
Kyle Singler,1045000.0,1326080.0,2014
Aaron Brooks,1027424.0,1303776.0,2014
Greg Oden,1027424.0,1303776.0,2014
Anthony Morrow,1027424.0,1303776.0,2014
Cartier Martin,1003248.0,1273096.0,2014
Richard Hamilton,1000000.0,1268976.0,2014
Ishmael Smith,985000.0,1249941.0,2014
Lance Stephenson,981349.0,1245308.0,2014
Alan Anderson,947907.0,1202871.0,2014
Omri Casspi,947907.0,1202871.0,2014
AJ Price,947907.0,1202871.0,2014
BJ Mullens,947907.0,1202871.0,2014
Austin Daye,947907.0,1202871.0,2014
Darius Morris,944923.0,1199083.0,2014
DeJuan Blair,941000.0,1194106.0,2014
Chandler Parsons,926500.0,1175706.0,2014
Wesley Johnson,916099.0,1162507.0,2014
Xavier Henry,916099.0,1162507.0,2014
Jeff Adrien,916099.0,1162507.0,2014
Chris Johnson,916099.0,1162507.0,2014
James Anderson,916099.0,1162507.0,2014
Garrett Temple,916099.0,1162507.0,2014
Jon Leuer,900000.0,1142078.0,2014
Mike James,889097.0,1128242.0,2014
Shelvin Mack,884293.0,1122146.0,2014
Greg Smith,884293.0,1122146.0,2014
Josh Harrellson,884293.0,1122146.0,2014
Donald Sloan,884293.0,1122146.0,2014
Lance Thomas,884293.0,1122146.0,2014
Cole Aldrich,884293.0,1122146.0,2014
E'Twaun Moore,884293.0,1122146.0,2014
PJ Tucker,884293.0,1122146.0,2014
Isaiah Thomas,884293.0,1122146.0,2014
Julyan Stone,884293.0,1122146.0,2014
Draymond Green,875500.0,1110988.0,2014
Allen Crabbe,825000.0,1046905.0,2014
Elliot Williams,797545.0,1012065.0,2014
Robert Sacre,788873.0,1001060.0,2014
Mike Scott,788872.0,1001059.0,2014
Jeffery Taylor,788872.0,1001059.0,2014
Tornike Shengelia,788872.0,1001059.0,2014
Jae Crowder,788872.0,1001059.0,2014
Bernard James,788872.0,1001059.0,2014
Quincy Miller,788872.0,1001059.0,2014
Patrick Beverley,788872.0,1001059.0,2014
Orlando Johnson,788872.0,1001059.0,2014
Khris Middleton,788872.0,1001059.0,2014
Brian Roberts,788872.0,1001059.0,2014
Darius Miller,788872.0,1001059.0,2014
Doron Lamb,788872.0,1001059.0,2014
Kyle O'Quinn,788872.0,1001059.0,2014
Henry Sims,788872.0,1001059.0,2014
Will Barton,788872.0,1001059.0,2014
Quincy Acy,788872.0,1001059.0,2014
Aron Baynes,788872.0,1001059.0,2014
Kent Bazemore,762195.0,967207.0,2014
Diante Garrett,719266.0,912731.0,2014
Malcolm Thomas,702233.0,891116.0,2014
Dwight Buycks,700000.0,888283.0,2014
Leandro Barbosa,650359.0,825290.0,2014
Alexis Ajinca,635880.0,806916.0,2014
DJ Augustin,592279.0,751587.0,2014
Isaiah Canaan,570515.0,723969.0,2014
Jeremy Tyler,556584.0,706291.0,2014
Ricky Ledo,550000.0,697936.0,2014
Kendall Marshall,547570.0,694853.0,2014
Shawne Williams,535770.0,679879.0,2014
Chris Douglas-Roberts,535288.0,679267.0,2014
Jamaal Franklin,535000.0,678902.0,2014
Ray McCallum,524616.0,665725.0,2014
James Johnson,507409.0,643889.0,2014
Ryan Gomes,495521.0,628804.0,2014
Phil Pressey,490180.0,622026.0,2014
Matthew Dellavedova,490180.0,622026.0,2014
Carrick Felix,490180.0,622026.0,2014
Gal Mekel,490180.0,622026.0,2014
Tony Mitchell,490180.0,622026.0,2014
Peyton Siva,490180.0,622026.0,2014
Ognjen Kuzmic,490180.0,622026.0,2014
Robert Covington,490180.0,622026.0,2014
Ryan Kelly,490180.0,622026.0,2014
Nick Calathes,490180.0,622026.0,2014
Miroslav Raduljica,490180.0,622026.0,2014
Nate Wolters,490180.0,622026.0,2014
Robbie Hummel,490180.0,622026.0,2014
Jeff Withey,490180.0,622026.0,2014
Toure Murry,490180.0,622026.0,2014
Brandon Davies,490180.0,622026.0,2014
Hollis Thompson,490180.0,622026.0,2014
Dionte Christmas,490180.0,622026.0,2014
Ian Clark,490180.0,622026.0,2014
Glen Rice Jr,490180.0,622026.0,2014
Shannon Brown,481562.0,611090.0,2014
Solomon Jones,474583.0,602234.0,2014
Erik Murphy,455580.0,578120.0,2014
Jason Collins,436316.0,553674.0,2014
Luke Babbitt,387995.0,492356.0,2014
Daniel Orton,369322.0,468660.0,2014
Maalik Wayns,361952.0,459308.0,2014
Christapher Johnson,320000.0,406072.0,2014
Jarvis Varnado,310908.0,394534.0,2014
Shavlik Randolph,306036.0,388352.0,2014
Hilton Armstrong,296138.0,375792.0,2014
Dewayne Dedmon,256623.0,325648.0,2014
Stephen Jackson,238739.0,302954.0,2014
Hamed Haddadi,200000.0,253795.0,2014
Chris Smith,184538.0,234174.0,2014
Mike Muscala,161471.0,204902.0,2014
Troy Daniels,158587.0,201243.0,2014
James Southerland,155704.0,197584.0,2014
Jamaal Tinsley,139951.0,177594.0,2014
Chris Wright,139212.0,176656.0,2014
Chris Babb,138403.0,175630.0,2014
Justin Hamilton,126870.0,160994.0,2014
Jorge Gutierrez,121103.0,153676.0,2014
Reggie Williams,111518.0,141513.0,2014
Dexter Pittman,107776.0,136764.0,2014
Damion James,107776.0,136765.0,2014
Arinze Onuaku,106776.0,135495.0,2014
Manny Harris,104034.0,132016.0,2014
Othyus Jeffers,104034.0,132016.0,2014
