player_name,season,team,mp,raptor_offense,raptor_defense,raptor_total,war_total,salary,inf_adj_salary,player_val,3_year_average_val,lr_average_val
Nickeil Alexander-Walker,2022,NOP,1317,-1.85,-1.55,-3.4,-0.44,3261480.0,3556962.0,-2164999.47,1203856.04,1203856.04
Nickeil Alexander-Walker,2022,UTA,149,-2.04,1.18,-0.86,0.14,3261480.0,3556962.0,712808.98,1203856.04,1203856.04
Ty-Shon Alexander,2021,PHO,47,-4.22,-1.72,-5.94,-0.08,449115.0,516211.0,-404204.95,-404204.95,-404204.95
Rawle Alkins,2019,CHI,120,-3.54,-2.16,-5.7,-0.18,77250.0,90837.0,-775746.35,-775746.35,-775746.35
Grayson Allen,2019,UTA,416,-4.61,-5.54,-10.15,-1.58,2076960.0,2442273.0,-6804984.0,-6804984.0,-6804984.0
Grayson Allen,2020,MEM,718,0.04,-1.44,-1.4,0.5,2429400.0,2810375.0,2430591.93,-2187196.04,-2187196.04
Grayson Allen,2021,MEM,1259,0.09,0.27,0.36,2.0,2545320.0,2925582.0,10624058.27,2083222.07,2083222.07
Grayson Allen,2022,MIL,1805,0.46,-0.09,0.37,2.87,4054695.0,4422040.0,14115070.73,9056573.64,5091184.23
Jarrett Allen,2018,BRK,1441,-2.92,-1.13,-4.05,-0.96,1713720.0,2073009.0,-3836421.62,-3836421.62,-3836421.62
Jarrett Allen,2019,BRK,2096,-1.52,-2.81,-4.33,-1.69,2034120.0,2391898.0,-7255961.69,-5546191.66,-5546191.66
Jarrett Allen,2020,BRK,1852,0.03,2.09,2.11,4.56,2376840.0,2749572.0,22285350.35,3730989.01,3730989.01
Jarrett Allen,2021,BRK,320,1.22,4.32,5.55,1.36,3909902.0,4494028.0,7237688.29,11254594.28,7481840.31
Jarrett Allen,2021,CLE,1544,-1.11,1.12,0.01,2.17,3909902.0,4494028.0,11496705.89,11254594.28,7481840.31
Jarrett Allen,2022,CLE,1809,0.19,4.09,4.28,6.46,20000000.0,21811951.0,31816255.3,24278666.61,12348723.3
Kadeem Allen,2018,BOS,107,-6.38,-1.26,-7.64,-0.27,77250.0,93445.0,-1076979.78,-1076979.78,-1076979.78
Kadeem Allen,2019,NYK,416,2.08,-1.02,1.05,0.8,77250.0,90837.0,3443925.72,1183472.97,1183472.97
Lavoy Allen,2014,IND,112,-1.09,-2.36,-3.45,-0.04,3120000.0,3959205.0,-96552.1,-504970.4,-504970.4
Lavoy Allen,2014,PHI,960,-2.91,-0.18,-3.09,-0.17,3120000.0,3959205.0,-408418.3,-504970.4,-504970.4
Lavoy Allen,2015,IND,1070,-0.41,1.65,1.24,2.16,948163.0,1178768.0,5531611.42,2513320.51,2513320.51
Lavoy Allen,2016,IND,1599,-0.46,-0.49,-0.95,1.45,3550000.0,4407948.0,4072188.94,3032943.32,3032943.32
Lavoy Allen,2017,IND,871,-0.65,-0.66,-1.31,0.64,3500000.0,4302950.0,2254083.0,3952627.79,2838228.24
Ray Allen,2014,MIA,1936,1.41,-1.65,-0.24,2.46,3229050.0,4097587.0,5948598.56,5948598.56,5948598.56
Tony Allen,2014,MEM,1278,0.21,2.41,2.62,3.54,5000000.0,6344880.0,8554865.07,8554865.07,8554865.07
Tony Allen,2015,MEM,1648,-0.45,4.76,4.3,5.98,5000000.0,6216062.0,15268446.51,11911655.79,11911655.79
Tony Allen,2016,MEM,1620,-1.04,1.54,0.5,2.69,5000000.0,6208378.0,7543109.29,10455473.62,10455473.62
Tony Allen,2017,MEM,1914,-0.71,2.22,1.51,4.15,5000000.0,6147072.0,14700025.95,12503860.58,11516611.7
Tony Allen,2018,NOP,273,-2.36,-0.61,-2.98,-0.03,1471382.0,1779864.0,-127441.92,7371897.77,9187800.98
Jose Alvarado,2022,NOP,834,1.01,4.74,5.75,3.61,1925406.0,2099843.0,17781065.46,17781065.46,17781065.46
Al-Farouq Aminu,2014,NOP,2045,-1.33,0.47,-0.86,1.97,3700000.0,4695211.0,4755756.08,4755756.08,4755756.08
Al-Farouq Aminu,2015,DAL,1366,-0.5,2.61,2.11,3.39,981084.0,1219695.0,8670819.96,6713288.02,6713288.02
Al-Farouq Aminu,2016,POR,2341,-0.74,0.61,-0.13,3.14,8042895.0,9986667.0,8814517.37,7413697.8,7413697.8
Al-Farouq Aminu,2017,POR,1773,-2.25,3.51,1.26,3.62,7680965.0,9443088.0,12825329.1,10103555.48,8766605.63
Al-Farouq Aminu,2018,POR,2072,-0.67,2.2,1.53,4.51,7319035.0,8853506.0,18111747.39,13250531.29,10635633.98
Al-Farouq Aminu,2019,POR,2292,0.5,0.91,1.41,4.84,6957105.0,8180780.0,20793949.37,17243675.29,12328686.54
Al-Farouq Aminu,2020,ORL,380,-5.4,3.06,-2.34,0.08,9258000.0,10709827.0,388187.43,13097961.4,10622900.96
